epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4248788356781006,0.0003000000142492354,1.4151983261108398,0.6282051205635071,1.0718563795089722
1,0.6558966040611267,0.0003000000142492354,1.0314345359802246,0.7884615659713745,0.8380365371704102
2,0.7172859311103821,0.0003000000142492354,0.852999746799469,0.8333333134651184,0.7176530361175537
3,0.7657511830329895,0.0003000000142492354,0.7493234872817993,0.8589743375778198,0.6651988625526428
4,0.8126009702682495,0.0003000000142492354,0.7208512425422668,0.8525640964508057,0.6355342268943787
5,0.8287560343742371,0.0003000000142492354,0.6606028079986572,0.9038461446762085,0.5672170519828796
6,0.8077544569969177,0.0003000000142492354,0.6575561761856079,0.8910256624221802,0.5375750064849854
7,0.8449111580848694,0.0003000000142492354,0.5895701050758362,0.8717948794364929,0.560385525226593
8,0.854604184627533,0.0003000000142492354,0.5973201394081116,0.9038461446762085,0.5170456171035767
9,0.8497576713562012,0.0003000000142492354,0.5909076929092407,0.8846153616905212,0.5215780735015869
10,0.8578352332115173,0.0003000000142492354,0.5859008431434631,0.9038461446762085,0.5397439002990723
11,0.882067859172821,0.0003000000142492354,0.5460859537124634,0.8461538553237915,0.5765829682350159
12,0.9030694961547852,0.00010500000644242391,0.4900955855846405,0.8974359035491943,0.5151817202568054
13,0.8869143724441528,0.00010500000644242391,0.5332248210906982,0.9102563858032227,0.48696649074554443
14,0.901453971862793,0.00010500000644242391,0.5090809464454651,0.8717948794364929,0.5491533279418945
15,0.8804523348808289,0.00010500000644242391,0.5124884843826294,0.8910256624221802,0.5277643203735352
16,0.9030694961547852,0.00010500000644242391,0.49580118060112,0.8846153616905212,0.5262386202812195
17,0.9127625226974487,3.675000334624201e-05,0.4881337881088257,0.8782051205635071,0.5241151452064514
18,0.9127625226974487,3.675000334624201e-05,0.4686349928379059,0.8910256624221802,0.5183236598968506
19,0.8966074585914612,3.675000334624201e-05,0.48944032192230225,0.9038461446762085,0.5062747597694397
