epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8901454210281372,9.999999747378752e-06,0.5131645202636719,0.9294871687889099,0.4623522162437439
1,0.9305331110954285,9.999999747378752e-06,0.45436301827430725,0.9166666865348816,0.4599582850933075
2,0.9434571862220764,9.999999747378752e-06,0.404104083776474,0.9294871687889099,0.4479570686817169
3,0.9434571862220764,9.999999747378752e-06,0.4058069884777069,0.9615384340286255,0.41150176525115967
4,0.9579967856407166,9.999999747378752e-06,0.370234876871109,0.9358974099159241,0.42191648483276367
5,0.9709208607673645,9.999999747378752e-06,0.3472444713115692,0.9679487347602844,0.3750123381614685
6,0.9773828983306885,9.999999747378752e-06,0.3271426558494568,0.9551281929016113,0.41080421209335327
7,0.9822294116020203,9.999999747378752e-06,0.31562575697898865,0.9615384340286255,0.36983728408813477
8,0.987075924873352,9.999999747378752e-06,0.3102240264415741,0.9551281929016113,0.37981534004211426
9,0.9919224381446838,9.999999747378752e-06,0.3028278648853302,0.9551281929016113,0.407212495803833
10,0.9886914491653442,9.999999747378752e-06,0.29332053661346436,0.9615384340286255,0.37838777899742126
11,0.9919224381446838,3.499999820633093e-06,0.28796494007110596,0.9679487347602844,0.35401883721351624
12,0.9967690110206604,3.499999820633093e-06,0.28709977865219116,0.9615384340286255,0.3615138530731201
13,0.9951534867286682,3.499999820633093e-06,0.28304144740104675,0.9679487347602844,0.3596508204936981
14,1.0,3.499999820633093e-06,0.2746293842792511,0.9679487347602844,0.3630891740322113
15,1.0,1.2249998917468474e-06,0.27415043115615845,0.9679487347602844,0.35530903935432434
16,1.0,1.2249998917468474e-06,0.27274802327156067,0.9679487347602844,0.355110764503479
17,1.0,1.2249998917468474e-06,0.27177974581718445,0.9615384340286255,0.37322649359703064
18,0.9951534867286682,4.287499564270547e-07,0.27473184466362,0.9679487347602844,0.3628879487514496
19,0.9967690110206604,4.287499564270547e-07,0.2746585011482239,0.9679487347602844,0.3590049743652344
