epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8917608857154846,9.999999747378752e-06,0.5121598243713379,0.9038461446762085,0.49881768226623535
1,0.894991934299469,9.999999747378752e-06,0.49523088335990906,0.9102563858032227,0.4850914180278778
2,0.9176090359687805,9.999999747378752e-06,0.4736971855163574,0.9166666865348816,0.49101927876472473
3,0.9111469984054565,9.999999747378752e-06,0.4568789601325989,0.9230769276618958,0.4767668843269348
4,0.9369951486587524,9.999999747378752e-06,0.4349081218242645,0.9166666865348816,0.46826958656311035
5,0.9353796243667603,9.999999747378752e-06,0.4463866353034973,0.9358974099159241,0.4550022780895233
6,0.9289175868034363,9.999999747378752e-06,0.42917314171791077,0.9487179517745972,0.4427229166030884
7,0.9515347480773926,9.999999747378752e-06,0.4088042378425598,0.9358974099159241,0.4548545777797699
8,0.9369951486587524,9.999999747378752e-06,0.4217143654823303,0.9551281929016113,0.43841230869293213
9,0.9369951486587524,9.999999747378752e-06,0.4092117249965668,0.9551281929016113,0.4239048659801483
10,0.9499192237854004,9.999999747378752e-06,0.4010091722011566,0.942307710647583,0.4403713345527649
11,0.9499192237854004,9.999999747378752e-06,0.39221757650375366,0.9487179517745972,0.43422529101371765
12,0.9466882348060608,9.999999747378752e-06,0.3920021951198578,0.9487179517745972,0.4186006188392639
13,0.9499192237854004,9.999999747378752e-06,0.38731148838996887,0.9615384340286255,0.43053001165390015
14,0.9579967856407166,9.999999747378752e-06,0.3758007884025574,0.9487179517745972,0.4170297086238861
15,0.9660742878913879,9.999999747378752e-06,0.37346524000167847,0.9615384340286255,0.40588849782943726
16,0.9725363254547119,9.999999747378752e-06,0.3628680408000946,0.9551281929016113,0.40485304594039917
17,0.9612277746200562,9.999999747378752e-06,0.3722183406352997,0.9487179517745972,0.40159872174263
18,0.9676898121833801,9.999999747378752e-06,0.3645241856575012,0.9551281929016113,0.3962719440460205
19,0.9806138873100281,9.999999747378752e-06,0.34188222885131836,0.9551281929016113,0.4043811559677124
20,0.9725363254547119,9.999999747378752e-06,0.34117746353149414,0.9679487347602844,0.40198659896850586
21,0.9757673740386963,9.999999747378752e-06,0.3416999578475952,0.9615384340286255,0.3918038010597229
22,0.9773828983306885,9.999999747378752e-06,0.3457476794719696,0.9551281929016113,0.39324313402175903
23,0.9773828983306885,9.999999747378752e-06,0.3331184685230255,0.9679487347602844,0.4004010558128357
24,0.9854604005813599,9.999999747378752e-06,0.3289962410926819,0.9743589758872986,0.38991907238960266
25,0.9886914491653442,9.999999747378752e-06,0.32067549228668213,0.9679487347602844,0.390667587518692
26,0.9773828983306885,9.999999747378752e-06,0.32892680168151855,0.9679487347602844,0.3834865093231201
27,0.9789983630180359,9.999999747378752e-06,0.3301108777523041,0.9679487347602844,0.37243929505348206
28,0.9822294116020203,9.999999747378752e-06,0.325155109167099,0.9679487347602844,0.3721539080142975
29,0.9886914491653442,9.999999747378752e-06,0.3149038255214691,0.9743589758872986,0.3705323338508606
30,0.9854604005813599,9.999999747378752e-06,0.3198939859867096,0.9679487347602844,0.37022286653518677
31,0.9806138873100281,9.999999747378752e-06,0.31229546666145325,0.9743589758872986,0.3724381923675537
32,0.987075924873352,9.999999747378752e-06,0.3122398853302002,0.9743589758872986,0.3733736276626587
33,0.9789983630180359,9.999999747378752e-06,0.3136880099773407,0.9743589758872986,0.37232494354248047
34,0.9903069734573364,3.499999820633093e-06,0.30278822779655457,0.9743589758872986,0.3734016418457031
35,0.987075924873352,3.499999820633093e-06,0.30472826957702637,0.9679487347602844,0.3660981059074402
36,0.9854604005813599,3.499999820633093e-06,0.30443647503852844,0.9679487347602844,0.36644697189331055
37,0.9967690110206604,3.499999820633093e-06,0.30124837160110474,0.9679487347602844,0.368883341550827
38,0.9919224381446838,3.499999820633093e-06,0.3025680184364319,0.9743589758872986,0.36673638224601746
39,0.993537962436676,1.2249998917468474e-06,0.3000783622264862,0.9679487347602844,0.3653073310852051
40,0.987075924873352,1.2249998917468474e-06,0.30561694502830505,0.9679487347602844,0.3647593557834625
41,0.9951534867286682,1.2249998917468474e-06,0.2939276695251465,0.9679487347602844,0.36419153213500977
42,0.9903069734573364,1.2249998917468474e-06,0.30433619022369385,0.9743589758872986,0.3643820285797119
43,0.9919224381446838,1.2249998917468474e-06,0.3081117272377014,0.9743589758872986,0.36501604318618774
44,0.9967690110206604,1.2249998917468474e-06,0.29599472880363464,0.9743589758872986,0.36624494194984436
