epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8723747730255127,9.999999747378752e-06,0.5415475368499756,0.8974359035491943,0.5467935800552368
1,0.8852988481521606,9.999999747378752e-06,0.5117900967597961,0.9230769276618958,0.4762612283229828
2,0.9127625226974487,9.999999747378752e-06,0.4646700620651245,0.8974359035491943,0.4955720603466034
3,0.9273021221160889,9.999999747378752e-06,0.44346147775650024,0.9230769276618958,0.47516822814941406
4,0.9208400845527649,9.999999747378752e-06,0.4588538706302643,0.8974359035491943,0.4772081673145294
5,0.9305331110954285,9.999999747378752e-06,0.4378199279308319,0.9358974099159241,0.44403326511383057
6,0.95315021276474,9.999999747378752e-06,0.3957929313182831,0.9038461446762085,0.4652077257633209
7,0.9434571862220764,9.999999747378752e-06,0.39459410309791565,0.9102563858032227,0.5119805335998535
8,0.9483036994934082,9.999999747378752e-06,0.3915416896343231,0.8910256624221802,0.5020045042037964
9,0.95315021276474,3.499999820633093e-06,0.37843742966651917,0.9038461446762085,0.46609529852867126
10,0.9709208607673645,3.499999820633093e-06,0.3486856520175934,0.9166666865348816,0.45485588908195496
11,0.9660742878913879,3.499999820633093e-06,0.35730457305908203,0.9166666865348816,0.4368257224559784
12,0.959612250328064,3.499999820633093e-06,0.3627660870552063,0.8974359035491943,0.4648323059082031
13,0.9725363254547119,3.499999820633093e-06,0.34787675738334656,0.9102563858032227,0.4813488721847534
14,0.9741518497467041,3.499999820633093e-06,0.34979698061943054,0.9358974099159241,0.426413357257843
15,0.9709208607673645,3.499999820633093e-06,0.3612605631351471,0.9230769276618958,0.45180708169937134
16,0.9709208607673645,3.499999820633093e-06,0.3453933000564575,0.9230769276618958,0.4341208040714264
17,0.9660742878913879,3.499999820633093e-06,0.3526054322719574,0.9038461446762085,0.43608787655830383
18,0.9757673740386963,1.2249998917468474e-06,0.33659061789512634,0.942307710647583,0.40945255756378174
19,0.9854604005813599,1.2249998917468474e-06,0.33097362518310547,0.9294871687889099,0.4159226417541504
20,0.9757673740386963,1.2249998917468474e-06,0.34272006154060364,0.9358974099159241,0.42191198468208313
21,0.9773828983306885,1.2249998917468474e-06,0.3300091624259949,0.9230769276618958,0.4263438284397125
22,0.9789983630180359,4.287499564270547e-07,0.3290928602218628,0.942307710647583,0.414766788482666
23,0.9741518497467041,4.287499564270547e-07,0.3336568772792816,0.9358974099159241,0.41055047512054443
24,0.9854604005813599,4.287499564270547e-07,0.3265300691127777,0.9294871687889099,0.42104530334472656
25,0.9806138873100281,1.5006249043381104e-07,0.32379135489463806,0.9294871687889099,0.4220350682735443
26,0.9789983630180359,1.5006249043381104e-07,0.3288598358631134,0.9294871687889099,0.42185598611831665
